날짜,이벤트,설명
2022-01-14,다이어리데이,연인끼리 서로 일기장을 선물하는 날
2022-01-19,찜질방데이,따뜻하게 보내는 날
2022-02-14,발렌타인데이,친구나 연인 사이에 초콜릿을 선물하는 날
2022-02-22,커플데이,2프로데이
2022-03-03,삼겹살데이,삼겹살 먹는 날
2022-03-14,화이트데이,친구나 연인 사이에 설탕을 선물하는 날
2022-04-14,블랙데이,솔로들이 짜장면 먹는 날
2022-05-03,오삼데이,오징어와 삼겹살을 먹는 오삼불고기 날
2022-05-14,로즈데이,연인끼리 장미꽃을 선물하는 날
2022-06-06,고기데이,고기먹는 날
2022-06-14,키스데이,연인끼리 입맞춤을 나누는 날
2022-07-02,체리데이,발음이 체리라서 체리 데이
2022-07-14,실버데이,연인끼리 은반지를 선물하는 날
2022-08-08,팔팔데이,라면먹는 날
2022-08-14,그린데이,연인끼리 산림욕을 하며 무더위를 달래는 날
2022-09-14,포토데이,연인끼리 함께 기념사진을 찍는 날
2022-09-17,고백데이,이때 사귀면 크리스마스 100인 날
2022-10-14,와인데이,연인끼리 함께 포도주를 마꼐는 날
2022-11-11,뺴빼로데이,뺴배로데이
2022-11-14,무비데이,연인끼리 함께 영화를 보는 날
2022-12-14,허그데이,연인끼리 서로 안아주는 날
2022-12-25,크리스마스,크리스마스는 크리스마스
