Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
본인생일,01/01/2022,00:00 AM,01/01/2022,00:00 PM,True,내 생일(필수),,True
다이어리데이,01/14/2022,00:00 AM,01/14/2022,00:00 PM,True,연인끼리 서로 일기장을 선물하는 날,,True
찜질방데이,01/19/2022,00:00 AM,01/19/2022,00:00 PM,True,따뜻하게 보내는 날,,True
발렌타인데이,02/14/2022,00:00 AM,02/14/2022,00:00 PM,True,친구나 연인 사이에 초콜릿을 선물하는 날,,True
커플데이,02/22/2022,00:00 AM,02/22/2022,00:00 PM,True,2프로데이,,True
삼겹살데이,03/03/2022,00:00 AM,03/03/2022,00:00 PM,True,삼겹살 먹는 날,,True
화이트데이,03/14/2022,00:00 AM,03/14/2022,00:00 PM,True,친구나 연인 사이에 설탕을 선물하는 날,,True
블랙데이,04/14/2022,00:00 AM,04/14/2022,00:00 PM,True,솔로들이 짜장면 먹는 날,,True
오삼데이,05/03/2022,00:00 AM,05/03/2022,00:00 PM,True,오징어와 삼겹살을 먹는 오삼불고기 날,,True
로즈데이,05/14/2022,00:00 AM,05/14/2022,00:00 PM,True,연인끼리 장미꽃을 선물하는 날,,True
100일,05/23/2022,00:00 AM,05/23/2022,00:00 PM,True,100일,좋은 장소,True
고기데이,06/06/2022,00:00 AM,06/06/2022,00:00 PM,True,고기먹는 날,,True
키스데이,06/14/2022,00:00 AM,06/14/2022,00:00 PM,True,연인끼리 입맞춤을 나누는 날,,True
체리데이,07/02/2022,00:00 AM,07/02/2022,00:00 PM,True,발음이 체리라서 체리 데이,,True
실버데이,07/14/2022,00:00 AM,07/14/2022,00:00 PM,True,연인끼리 은반지를 선물하는 날,,True
팔팔데이,08/08/2022,00:00 AM,08/08/2022,00:00 PM,True,라면먹는 날,,True
그린데이,08/14/2022,00:00 AM,08/14/2022,00:00 PM,True,연인끼리 산림욕을 하며 무더위를 달래는 날,,True
200일,08/31/2022,00:00 AM,08/31/2022,00:00 PM,True,200일,좋은 장소,True
포토데이,09/14/2022,00:00 AM,09/14/2022,00:00 PM,True,연인끼리 함께 기념사진을 찍는 날,,True
고백데이,09/17/2022,00:00 AM,09/17/2022,00:00 PM,True,이때 사귀면 크리스마스 100인 날,,True
와인데이,10/14/2022,00:00 AM,10/14/2022,00:00 PM,True,연인끼리 함께 포도주를 마꼐는 날,,True
뺴빼로데이,11/11/2022,00:00 AM,11/11/2022,00:00 PM,True,뺴배로데이,,True
무비데이,11/14/2022,00:00 AM,11/14/2022,00:00 PM,True,연인끼리 함께 영화를 보는 날,,True
300일,12/09/2022,00:00 AM,12/09/2022,00:00 PM,True,300일,좋은 장소,True
허그데이,12/14/2022,00:00 AM,12/14/2022,00:00 PM,True,연인끼리 서로 안아주는 날,,True
크리스마스,12/25/2022,00:00 AM,12/25/2022,00:00 PM,True,크리스마스는 크리스마스,,True
